Služba;Krátké;Polodlouhé;Dlouhé
Mytí, støih, foukaná, styling;420,-;480,-;570,-
Mytí, foukaná, styling;280,-;330,-;410,-
Mytí, støih, foukaná, žehlení, styling;450,-;530,-;650,-
Mytí, foukaná, žehlení, styling;290,-;350,-;440,-
Melír pøes èepici;290,-;;
Melír;500-590,-;600-700,-;750-850,-
Èásteèný melír (vršek, strany);300,-;500,-;600,-
Barva odrost;310,-;330,-;380,-
Barevný melír;550,-;600-700,-;750-850,-
Kombinované barvení;500,-;600,-;750-850,-
Barevné tunely;100,-;150,-;200,-
Pøeliv, barva;400,-;500,-;600,-
Trvalá;380,-;490,-;650,-
Stahování barvy;500,-;600,-;900,-
Narovnání vlasù;250,-;400,-;550,-
Pøípravek Powerplex;50-100,-;50-100,-;50-100,-
Spoleèenské úèesy;500-1000,- dle nároènosti;;
Mytí vlasù;80,-;100,-;130,-
Masáž hlavy;50,-;50,-;50,-
Regenerace;40,-;50,-;60,-
Keratinová kùra;250,-;350,-;450,-
Støih;150,-;160,-;190,-
Top, mix støih;180,-;210,-;240,-
Zastøižení ofiny;60,-;60,-;70,-
Styling (gel, guma, lak vosk, lesk, tužidlo);40,-;40,-;40,-
Foukaná;150,-;220,-;350,-
Vodová;130,-;160,-;180,-
Žehlení;80,-;100,-;120,-
Sušení;70,-;95,-;110,-
Pøíplatek za razantní zmìnu / dlouhé husté vlasy;50-100,-;;
Dámský støih na sucho;250,-;280,-;290,-
Prodloužení vlasù;2500-4000,- dle nároènosti;;
Sundávání nastavených vlasù;700-2500,- dle nároènosti;;
